r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.25,20.9,17.33139636613276,1.205903988258017,0.1142606373797731,17460101.46689886,0.25,1.133393758907974,0.13123277861053467,0.2702764679922569,4.752842236965848,0.003713716044064727,0.06053268765133172,0.4715139112944733
0.83,40.0,35.00630800298712,1.142651204365418,0.3306284505845856,236488679.83752277,0.83,1.133393758907974,0.4727381746213385,0.2702764679922569,4.752842236965848,0.05030049832283614,0.2009685230024213,0.4715139112944733
1.38,51.5,51.36339260601854,1.0026596256020177,0.6423291497908146,846498387.085524,1.38,2.6105329301305926,1.1786919074631024,0.4319885584049583,15.775608049571893,0.18004790220459,0.3341404358353511,1.0860326190915977
1.85,67.9,61.93297183245771,1.0963465500038398,0.5651143826295695,1649890848.6808608,1.85,0.8277529923814547,0.9802749277208086,0.03329926439439457,20.5762808535732,0.35092729142025747,0.44794188861985473,0.34436139069579463
2.68,80.2,61.776141834854016,1.298235817549086,0.5169910841229404,2378022733.793547,2.68,0.4239491348400526,0.8644547995043376,0.07938836342225865,2.2639699470267223,0.5057989609271333,0.6489104116222761,0.17637110949944096
3.19,83.3,65.33506944972203,1.2749661200575093,0.5257873664164183,3166088443.3759375,3.19,0.3367757855770516,0.8851754275044652,0.03828718830783813,2.9622945628478394,0.6734183917192035,0.7723970944309927,0.14010529583267084
3.68,91.4,68.19718249312064,1.3402313212751853,0.7138238248981608,3979425046.3274055,3.68,0.8782663905946851,1.3762316137880732,0.1423730902795213,5.417820539919586,0.8464128727267901,0.891041162227603,0.3653759496494667
4.13,102.0,69.97198367918405,1.4577262875333339,0.6932762814448504,4701517633.477565,4.13,0.6498876651705775,1.3180978845830496,0.08853493199484004,4.7704783617553375,1.0,1.0,0.27036594519618556
5.23,105.0,69.42425584765024,1.5124396901051387,0.5152767371306357,5860893108.43519,5.23,0.17014049327981445,0.8604398877070284,0.012017734384487578,2.4087558043273303,1.2465960069366095,1.2663438256658597,0.07078176390633376
6.05,109.0,65.99247305564477,1.6517035194012406,0.4924228154662877,6126096413.317183,6.05,0.14047444926832725,0.8076471134155571,0.041780602255889455,0.4723022127920198,1.3030040278262025,1.4648910411622276,0.05844011094190617
6.81,108.0,62.639955300111765,1.7241391613797543,0.5615736179000894,6212832363.383563,6.81,0.2150082513166965,0.9715480247179036,0.027047075120177764,1.709188440112555,1.3214525282526965,1.648910411622276,0.08944762642472975
7.56,109.0,61.778006604292436,1.7643819538914436,0.33925085988558096,6708558671.536953,7.56,0.04286847602788616,0.48886934959861883,0.0012022283227101796,1.528583383238481,1.4268921643020283,1.8305084745762712,0.01783412220534662
8.32,110.0,61.35031621760397,1.7929817934408039,0.39761837077472023,7281093074.721398,8.32,0.06176260432072937,0.6031488501855259,0.0028609241291356145,1.3333521338895167,1.5486686730420285,2.0145278450363198,0.025694448117536003
9.09,111.0,60.56720647347044,1.832674915403603,0.38286067461212137,7753157653.845348,9.09,0.05202692864013707,0.5734176596259046,0.0017086550010703553,1.58417076708305,1.649075523749675,2.2009685230024214,0.021644217133669003
9.86,112.0,57.32175154337139,1.9538830720351832,0.3790060025205536,7532783144.0323105,9.86,0.05202692864013707,0.5657452174511465,0.0017086550010703553,1.58417076708305,1.602202465517618,2.387409200968523,0.021644217133669003
