r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.44,15.7,12.435191996909417,1.262545846007203,0.06545618047087266,15819666.070668768,0.44,0.8816394364307087,0.07102604550125871,0.14288727210785626,5.439869376770898,0.006669349233832302,0.08486017357762776,0.9040497764034644
1.32,44.5,28.995382390994603,1.5347271299936651,0.33724370516388325,258030627.00684273,1.32,0.8816394364307087,0.48509701683834666,0.14288727210785626,5.439869376770898,0.1087820916602069,0.2545805207328833,0.9040497764034644
2.2,69.4,36.38259473979282,1.907505511807133,0.5673627354646047,677095089.178802,2.2,0.9867762110564592,0.9858333511366476,0.14506180720544345,6.712499378474601,0.28545378859917714,0.42430086788813887,1.0118590163995718
3.08,90.0,40.30488059776384,2.2329801916096805,0.5088342108097423,1163337263.9743683,3.08,0.2834140878996312,0.8454201411272277,0.034592211305820575,2.3220124469598287,0.49044666654256536,0.5940212150433943,0.29061817360683667
3.96,105.0,41.270592435776834,2.5441844616937734,0.1854765171932423,1568253399.396872,3.96,0.010481994610536676,0.23019851715241796,0.00013484698834188437,0.8147917307337659,0.6611536274532926,0.7637415621986499,0.010748435803056065
4.84,113.0,43.26330546779799,2.611913231736508,0.6746390019285923,2106320249.4355843,4.84,0.2821755036312777,1.2663181197287614,0.013867564275832195,5.741672673428948,0.887995061275324,0.9334619093539054,0.2893481058392297
5.53,117.0,45.29266717692832,2.58319960586465,0.6958558627552962,2637670660.6276345,5.53,0.22606433022488476,1.3253358590054891,0.017599973141486775,2.9037022380199264,1.1120049387246758,1.0665380906460944,0.23181064588036773
7.48,124.0,54.511401559673736,2.2747534727071175,0.8005660777941933,5167921879.788232,7.48,0.1765083177504994,1.633743936183405,0.01344198034475676,2.3177526998292177,2.178723348236501,1.4426229508196722,0.1809949720962057
8.37,127.0,58.26059474464709,2.1798610288246087,0.7870161011277035,6605640446.556661,8.37,0.11155698000956776,1.5922287475922305,0.004236872869570761,2.937298373579924,2.7848453219184743,1.6142719382835098,0.11439264019562934
9.24,130.0,60.92511140736634,2.1337671281513972,0.7843621412989887,7974515023.099762,9.24,0.0820916620838378,1.5841533006130637,0.008408809111508072,0.8014263249791389,3.361943635340352,1.782063645130183,0.08417834512024479
10.13,133.0,63.04616800409046,2.1095651680427414,0.8656814382470371,9361953518.906466,10.13,0.12139971064103881,1.8399070965301336,0.011790145967623275,1.25001758113932,3.946868236634841,1.9537126325940213,0.12448556260686529
13.23,142.0,68.87459400969271,2.0617181421064545,0.9456267931598517,14592093145.636621,13.23,0.12139971064103881,2.108099834684172,0.011790145967623275,1.25001758113932,6.151821713942604,2.5515911282545805,0.12448556260686529
