r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.64,12.4,13.611245350811954,0.9110114233052379,0.10403505832505949,27568640.124996807,0.64,1.2169567926527811,0.1181053396939676,0.18141141868193833,8.16367484441702,0.010784937598536033,0.1314168377823409,0.3248116416895392
1.18,21.9,21.226667190117247,1.0317210800853487,0.25296603921328975,123619013.65059954,1.18,1.2169567926527811,0.33615540130712723,0.18141141868193833,8.16367484441702,0.04836014189199855,0.242299794661191,0.3248116416895392
1.8,32.3,27.76613765002255,1.1632874693313264,0.41983610897328383,322658488.5524226,1.8,2.7039578922790204,0.648977174890459,0.2331223962671004,31.362873753412206,0.12622500235405548,0.36960985626283377,0.7216994122987918
2.03,37.9,29.79981879139536,1.271819814251473,0.4759302497968059,419143687.26618326,2.03,3.9385744875170645,0.7703927332699511,0.436002932992214,35.5785886284332,0.16397031161095807,0.41683778234086244,1.0512245405346599
2.78,53.1,36.42926845271532,1.4576191687440294,0.6390491407507075,857798616.5718416,2.78,2.3443353293399785,1.1699480863331906,0.18196765012224275,30.20266587329961,0.3355734816767253,0.5708418891170431,0.6257144145058934
3.0,62.4,38.11444345651658,1.637174633579261,0.677452882320495,1013304719.2338365,3.0,2.809629647726696,1.2740780124141453,0.2357178084042372,33.48927605778188,0.39640795177742805,0.6160164271047229,0.7499037138601933
3.64,68.0,42.50319517401015,1.5998797201387964,0.7676633316246009,1528917978.7533336,3.64,0.09507737301010688,1.5337624195618775,0.01079912431425794,0.8370777662562878,0.5981174595254525,0.7474332648870639,0.025376609754256686
4.19,78.0,45.735798888835426,1.7054474152640329,0.8247871916287537,2037821816.0807831,4.19,0.24495462544215987,1.7091432765460541,0.033669359710543065,1.7821178971431364,0.7972022204838137,0.8603696098562631,0.06537957182183635
4.6,82.3,46.93404414707942,1.753524578919571,0.8541094401574226,2355989941.6635084,4.6,0.25710902279564896,1.8024632566532561,0.012476897101567077,5.29819626344685,0.9216705789046398,0.9445585215605751,0.06862363913956583
5.14,85.7,48.025644191410905,1.7844633100273317,0.8853532703628034,2756443926.9828944,5.14,1.074205736062427,1.9043588077075482,0.08334079951779057,13.845775059346492,1.0783294210953605,1.0554414784394253,0.28671069568721175
5.39,85.5,48.93230630166536,1.747311877615098,0.9003073765327055,3000680677.810045,5.39,0.09748798694840298,1.9540267604436692,0.001430155284070654,6.6453676080551185,1.1738755962058136,1.106776180698152,0.026020014249391498
6.31,89.5,52.515719551387654,1.7042516176974878,0.9510177410842595,4046202791.5022626,6.31,0.12349021158150342,2.1267829080983693,0.012666458494697323,1.20395391993971,1.5828870927081777,1.295687885010267,0.032960133505595256
9.1,95.2,57.83659913929933,1.6460165607371036,1.0634626990877272,7077608464.2552395,9.1,0.11586939052146004,2.533701485143967,0.017031768057941852,0.7882749233162704,2.768782402315611,1.8685831622176594,0.0309260995822223
10.17,97.5,59.992083644427616,1.6252144295884332,1.105737745621824,8510370948.706203,10.17,0.16656694398759866,2.6951904963425077,0.019200371298815487,1.445000536582303,3.329283533973402,2.0882956878850107,0.04445752129776552
11.99,101.0,61.64088253748481,1.63852293871004,1.1669873819595178,10592452484.706728,11.99,0.012882578217291128,2.9374047965080665,0.0010014367041169285,0.1657227270004737,4.143800294285762,2.4620123203285424,0.0034384223048961717
14.02,107.0,61.95728367189769,1.7269963054970499,1.2248696787350264,12513315577.401064,14.02,0.014243170447719503,3.175267127584808,0.00149080333156743,0.13607958884120214,4.895247899104526,2.878850102669405,0.003801570938194909
15.94,117.0,62.64542281763289,1.8676544069404517,1.2798408977635864,14544763098.972078,15.94,0.006689274528219745,3.409231438428381,0.0012924877689915884,0.034620361435838624,5.689956475788325,3.2731006160164275,0.001785399657852107
17.98,120.0,62.60240330849927,1.916859316225454,1.3310003345271808,16383675776.056698,17.98,0.006689274528219745,3.634030792192087,0.0012924877689915884,0.034620361435838624,6.409344823620979,3.6919917864476393,0.001785399657852107
