r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.47,15.3,12.992405473968244,1.177611030586698,0.17498369931543375,18446612.926101685,0.47,0.8881783395664623,0.2147887828493821,0.11299945569591709,6.9811023249339526,0.004718485672086106,0.07142857142857142,1.0
1.41,41.0,32.891774047624736,1.2465122720542583,0.5196299185050369,354677267.83401656,1.41,0.8881783395664623,0.8706497463722536,0.11299945569591709,6.9811023249339526,0.09072340885526034,0.21428571428571427,1.0
2.35,60.7,41.172943785937875,1.4742691296397261,0.667350372346864,926256665.4498701,2.35,0.8583388610792138,1.2463138476598112,0.10993239298850331,6.701806268474574,0.2369285256923905,0.35714285714285715,0.9664037309198356
3.29,74.9,42.566806316659466,1.7595870228743524,0.5720838287762029,1386046108.8467329,3.29,0.31619865048180434,0.9975477080676144,0.04725357333311831,2.115852400445678,0.35453872923142166,0.5,0.3560080632411586
4.22,83.0,44.701026833843535,1.8567806128596576,0.16085275478842173,1960591408.7948828,4.22,0.006840008960873946,0.1944884461283531,0.00011502497498009953,0.4067440361793626,0.5015024984951957,0.6413373860182371,0.007701166146669026
5.17,86.8,47.33704785894448,1.8336589188799375,0.39143559769130704,2693596433.5454593,5.17,0.0490270095652703,0.590623972973243,0.006761740402661055,0.3554776616338538,0.6889989088502232,0.7857142857142857,0.0551995104825472
6.11,89.4,49.95313904050475,1.7896773199279743,0.3462899317052536,3544919882.303978,6.11,0.02637595515896196,0.5021816635458115,0.0017792035507170748,0.3910126023900901,0.9067601591876261,0.9285714285714286,0.02969668813566946
7.05,92.5,51.06229626642343,1.8115127356860443,0.2768903697040741,4273950072.1940246,7.05,0.012017460801969786,0.3765591295893906,0.00014885287810006932,0.9702154635518132,1.0932398408123738,1.0714285714285714,0.013530459218174303
7.99,94.7,52.661821085108706,1.7982667148360072,0.482306588132899,5152027483.951071,7.99,0.04803884150973783,0.7847121265762164,0.009765967002655548,0.2363033064693128,1.317844525854337,1.2142857142857144,0.05408693206049874
8.92,96.3,52.706065115885856,1.8271142000121485,0.3034763985692847,5761368955.872129,8.92,0.011348590632990173,0.4232037004044431,0.0027975837179909898,0.04603633790365343,1.4737088580320372,1.3556231003039514,0.012777378289285515
9.87,97.8,54.40236851461524,1.7977158471276107,0.40540753478448116,6791917686.954621,9.87,0.021522877591308498,0.6190693848225207,0.0007098867832886829,0.6525466746463857,1.7373144013086952,1.4999999999999998,0.024232608061365523
10.79,98.8,56.197054193258204,1.7580992708306897,0.48315673635157025,7922973284.955973,10.79,0.03141262652672744,0.7866292977980411,0.0018897287917352347,0.5221665191445694,2.0266287407422814,1.6398176291793312,0.03536747647106613
11.8,99.5,57.813621232370494,1.7210477025834325,0.48889261368673603,9170267371.323746,11.8,0.02817747626786338,0.7996133977194184,0.006223064714303917,0.12758507347690565,2.345675890426677,1.7933130699088147,0.031725020767357795
12.6,99.7,58.48278806623364,1.7047750850572745,0.5025523521980805,10019967844.014404,12.6,0.02817747626786338,0.830878878907851,0.006223064714303917,0.12758507347690565,2.5630219973795993,1.9148936170212765,0.031725020767357795
