r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.21,17.4,18.6113567479644,0.9349130337799315,0.09618764345655502,16912780.31858374,0.21,19.307053663163327,0.10821532503639801,5.01666683936851,74.30477906704905,0.009628070172837795,0.12352941176470589,0.4976047799607267
0.32,31.0,25.750250484218594,1.20387178443172,0.18346644925255864,49334705.44605677,0.32,19.307053663163327,0.22722436865430282,5.01666683936851,74.30477906704905,0.028085152000052307,0.18823529411764706,0.4976047799607267
0.43,36.1,29.73478266273355,1.2140663817679067,0.26127034781810965,88397022.72309811,0.43,25.112586777971384,0.35001120086180443,5.440493064288222,115.9163346463433,0.05032246158325288,0.2529411764705882,0.6472320135380873
0.54,46.0,34.17641291885384,1.345957520738624,0.3443752502869774,146651450.04196784,0.54,1.9221018303961064,0.49854785720026124,1.3028999812934587,2.8355787086161124,0.08348541312282116,0.31764705882352945,0.04953873724405743
0.64,58.0,37.10754370744579,1.56302450135933,0.41129686311720126,204900979.5601396,0.64,5.424489648964035,0.6312115056102657,1.002173323311884,29.361276405239785,0.11664557645324083,0.3764705882352941,0.1398065196929553
0.74,63.4,39.970273954527755,1.5861787705565167,0.47541421914569726,274881565.0641376,0.74,1.2959390690823647,0.7692385028413842,0.3737401805478033,4.493651360451608,0.15648396938905054,0.43529411764705883,0.03340051188357149
0.85,71.9,43.5310659184909,1.651693991013868,0.5450993742363246,374504615.3023431,0.85,1.1899577040746248,0.9313727003670073,0.100359275643445,14.109302088999668,0.21319715908688183,0.5,0.030669031734674793
0.96,76.4,47.24195698740686,1.617206501846774,0.6103393243631481,498157459.70038897,0.96,0.5088566043293785,1.0946076424864315,0.012251169597115,21.13553662913961,0.28358997685601095,0.5647058823529412,0.013114868951340366
1.07,78.1,50.616854900319524,1.542964298232346,0.6669503915766523,637402461.3395773,1.07,1.2206916125921576,1.245220063848177,0.20391895378053834,7.30725607123556,0.3628590634133467,0.6294117647058824,0.03146114326303185
1.17,80.5,53.410426884644906,1.5071963415282708,0.711248347248293,776028382.1330833,1.17,2.946482328681649,1.3688848221507504,0.18588828525613452,46.70417020239163,0.44177572099610757,0.6882352941176471,0.07594031261326994
1.28,82.8,56.45337279560894,1.4666971325128753,0.7541772055025932,948482675.5268072,1.28,2.0097572455453605,1.4935954399922042,0.15197908423050796,26.576842507459126,0.53995011971265,0.7529411764705882,0.051797898808979725
1.38,85.6,59.131112791828976,1.4476304598114822,0.7881193311424235,1121891443.903732,1.38,1.9618035683026454,1.5955910352989184,0.1984170698776377,19.39688577690639,0.6386678798365641,0.8117647058823529,0.05056197853709504
1.48,88.0,61.98783187045664,1.4196334561903068,0.8189863333836338,1322252063.865554,1.48,2.9804292407146424,1.6909465319335533,0.24392920848637623,36.41613283635521,0.7527287304198376,0.8705882352941177,0.07681523356119029
1.59,92.0,64.44887120811349,1.427488151079023,0.8465451533037547,1535562155.4508235,1.59,3.2512233183137034,1.7781754588604555,0.25165533304136584,42.003691866165425,0.8741614275678492,0.9352941176470589,0.08379446663057573
1.7,92.4,66.66434204280426,1.386048330615357,0.870461358948068,1756611658.9279945,1.7,2.6439309706304144,1.8554752295963002,0.3664412278839926,19.076376907217675,1.0,1.0,0.0681425924340825
1.8,95.1,67.9963271066901,1.398604954805613,0.8881410743719155,1935009311.9828126,1.8,2.649373571678002,1.913574012754366,0.11971932416735277,58.63030359655146,1.101557821359155,1.0588235294117647,0.06828286574268504
1.91,96.5,69.31023373211202,1.3922907888751026,0.9057912227901578,2133377642.1734002,1.91,1.5570773917763407,1.9723862838589536,0.11247298179223775,21.556199234226554,1.2144845056279168,1.1235294117647059,0.04013088513836664
2.02,101.0,69.98030079958217,1.4432633019005692,0.9203756500033841,2300078320.6344705,2.02,1.7335723725526853,2.021594388258281,0.10728277068162279,28.012635689625604,1.3093834991611843,1.188235294117647,0.04467972762907509
2.13,99.9,70.52979583126553,1.4164226455298314,0.9338478523577499,2463567703.811519,2.13,0.09984147221077559,2.0675412071168866,0.03725360767536749,0.2675799793695213,1.4024543736177624,1.2529411764705882,0.0025732353924714795
2.23,103.0,70.82684378115405,1.454250881463205,0.9449576817300014,2600999605.664848,2.23,1.135524375977358,2.1057862080687015,0.12336236112881352,10.45226110006419,1.4806913027391364,1.311764705882353,0.029266110050044605
2.34,104.0,71.36746597715236,1.4572466399927193,0.9574060711354544,2771124615.0233326,2.34,0.7210123060912452,2.149020371696589,0.20580769884163663,2.525944114146247,1.5775396917919033,1.3764705882352941,0.018582802750791483
2.44,107.0,71.6935066794755,1.4924643103087616,0.9678741079077666,2916010731.6823645,2.44,0.5905690716829043,2.185688483293498,0.02447699958259273,14.248961652818053,1.6600201398309717,1.4352941176470588,0.015220861665033239
2.54,107.0,71.80519549447658,1.490142868676274,0.9773988359477397,3044984594.8880587,2.54,1.2618073898216078,2.219299865813335,0.15890310642791497,10.019677555710263,1.733442095418129,1.4941176470588236,0.0325208288907882
2.65,106.0,71.91834884089039,1.4738936823273106,0.9875797074882928,3186874309.1578293,2.65,44.122849986042134,2.2554874897237536,5.198232558183632,374.5168899428845,1.8142167581323465,1.5588235294117647,1.1371875502907447
2.76,107.0,71.95229600228195,1.4870963950421612,0.997262382235688,3322293841.0708427,2.76,2.310803741613861,2.2901543189648073,0.30280658944553535,17.634404660857196,1.891308089744967,1.6235294117647059,0.05955683386181626
7.07,104.0,58.469021712356366,1.7787196870102837,1.214115039889335,5619668710.8077135,7.07,0.12943846008854407,3.1304129690004614,0.011926669880908498,1.4047772863163526,3.199152574358537,4.158823529411765,0.0033360448245764226
8.49,106.0,53.29121597411716,1.9890707701524921,1.2485440640381302,5606071020.551465,8.49,0.2305595979740915,3.2750650278364355,0.032765719549142876,1.6223580299601648,3.191411711324218,4.9941176470588236,0.005942261311296014
9.91,109.0,48.670116087800736,2.2395672901902337,1.274137977645738,5458056965.153888,9.91,0.017234560450575618,3.38459383954866,0.0017931451987831888,0.16564753045436978,3.107150597238305,5.829411764705883,0.00044418997379652004
11.27,110.0,45.00080999271013,2.4444004456324087,1.2949596259059097,5306451793.4576645,11.27,0.017234560450575618,3.474956188450196,0.0017931451987831888,0.16564753045436978,3.020845140408568,6.629411764705882,0.00044418997379652004
