r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.11,6.8,12.02680339907492,0.565403771423007,0.7534376982222908,3699412.4499233896,0.11,9.230794157664665,1.4914065728555457,0.6630369549444087,128.51102814973595,0.0055641218127561575,0.10891089108910891,0.40446220788569187
0.17,9.5,15.5399871299818,0.6113261176176487,0.7534376982222908,9545306.458400665,0.17,9.230794157664665,1.4914065728555457,0.6630369549444087,128.51102814973595,0.014356671118336436,0.16831683168316833,0.40446220788569187
0.24,14.0,19.675652466945028,0.7115393008450374,0.4357665077032104,21602756.62592335,0.24,1.1898309312259718,0.6826266917098182,0.0625006975522226,22.650909515356588,0.03249174591507144,0.2376237623762376,0.052134370806519705
0.31,19.8,23.294999463404157,0.8499678238286843,0.8322713641027503,39113506.21147617,0.31,16.61481049775989,1.7327496746598392,3.5001989763726877,78.86749574521313,0.05882888594624125,0.3069306930693069,0.7280048523177632
0.38,26.1,26.475214824435326,0.9858276948110344,0.7722970191531012,61930163.61653699,0.38,10.546277174204958,1.5476725106836964,2.8515383992764436,39.00489723840954,0.09314640606063462,0.37623762376237624,0.4621022284752774
0.45,28.7,29.4515279739439,0.9744825472346024,0.6036496696180123,90754427.55137868,0.45,3.505919723890934,1.077360470336928,1.5801275990128631,7.77878515510153,0.13649970009515477,0.44554455445544555,0.15361755532350324
0.52,28.7,32.4975029809984,0.8831447762857708,0.4344479273708391,127685909.26106335,0.52,1.1790456101438715,0.6798164294467024,0.2634567069004823,5.276573017078843,0.19204669998766935,0.5148514851485149,0.05166179448176218
0.59,31.7,35.56337020024959,0.8913665893165976,0.4863398491794996,173499200.63428444,0.59,1.6702847983381812,0.7938242327494196,0.1566772322579473,17.80636067764151,0.2609524349643605,0.5841584158415841,0.0731862357447133
0.66,35.5,38.46211772640711,0.9229860990110434,0.5436833917551774,227012601.98423126,0.66,2.411251197256533,0.9279525113667155,0.2802824690287154,20.743831593960287,0.3414395630574122,0.6534653465346535,0.10565287951953747
0.73,39.4,41.246339231500286,0.955236288458535,0.583142917422522,288757533.870739,0.73,3.086075433854192,1.0252152782045871,0.6510879947601034,14.627610492107832,0.4343073703071757,0.7227722772277227,0.13522139724479004
