r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.21,55.5,32.74993282435858,1.6946599645761864,0.13738119085486364,52369661.53674453,0.21,5.9897963002469785,0.1619168599357742,0.9005713736297207,39.838774325957935,0.0371966985964096,0.0717948717948718,0.9310925946639401
0.63,63.2,54.039365281246596,1.1695178074553079,0.46936085440692454,427760494.87201554,0.63,5.9897963002469785,0.7557503495514021,0.9005713736297207,39.838774325957935,0.3038262561242911,0.2153846153846154,0.9310925946639401
1.04,66.6,59.570483462869426,1.1180033487811476,0.6586598094558165,858094728.7899538,1.04,6.499321684548801,1.2226423774259005,0.8813402069841793,47.92835051040004,0.6094805667508979,0.35555555555555557,1.0102965088433193
1.46,70.5,59.378737777086506,1.1872936784992598,0.7602917039234226,1196890511.5429063,1.46,0.9687915494617545,1.5117482214946383,0.04790098548616179,19.59369012521984,0.850117688454542,0.49914529914529915,0.15059521096563003
1.88,76.1,56.25591879971387,1.3527465486953714,0.8142330437201298,1383355939.0919595,1.88,0.9760209444020346,1.6761011280516005,0.15069727251088005,6.321394329433947,0.9825588405197754,0.6427350427350428,0.15171899477318923
2.3,78.8,51.41805616707034,1.5325355696831238,0.8423056074767048,1413835199.99256,2.3,0.43178638399434666,1.7646279647794154,0.13597934101114187,1.3710868137508982,1.0042074028341508,0.7863247863247863,0.06711966224916188
2.71,80.1,47.88102860215098,1.6728963921297555,0.864538390851157,1444560978.7231076,2.71,0.5784187620531341,1.8361930088833174,0.07332455265821347,4.562840851612116,1.0260310598340774,0.9264957264957265,0.08991314545039708
3.14,80.1,44.33209334105486,1.8068174535268642,0.8808404715118147,1434847585.7434826,3.14,0.2528004112929232,1.8894843886409176,0.042488783670631816,1.5041157319371392,1.0191319098222316,1.0735042735042737,0.03929692748869166
3.55,80.1,41.38472785944109,1.9354965984565922,0.8931055195239808,1413670533.6777565,3.55,0.29200308487635374,1.9300342292294401,0.02682552828147122,3.1785320565784114,1.004090444979145,1.2136752136752136,0.045390844081991295
3.96,80.4,39.09139291455345,2.05671873027752,0.9048438512089896,1407009800.2515748,3.96,0.1938836021238158,1.9692089648009201,0.013047378526550147,2.8811037478534396,0.9993595132447307,1.353846153846154,0.030138518426212776
4.38,80.1,37.145391369589845,2.156391332723343,0.9159149624458315,1405153057.8412473,4.38,0.10576345736714737,2.006485246407625,0.006553109825210223,1.7069619177172204,0.998040721299519,1.4974358974358974,0.01644055440358561
4.8,80.4,35.52926962379047,2.2629229604586074,0.9263479302628846,1408813297.6509626,4.8,0.07722434172685677,2.0419045645359137,0.002901590217783029,2.0552864145312917,1.0006404867552692,1.641025641025641,0.012004250078873142
5.22,80.6,34.139258925758774,2.360918266423927,0.9360839507662755,1414550078.9367833,5.22,0.04285366267826321,2.075213062513134,0.0014080147681182463,1.3042735392588893,1.004715161254597,1.7846153846153847,0.006661449901445248
5.63,80.6,33.28091495136515,2.4218084183618234,0.9472182912452425,1449901685.689773,5.63,0.04285366267826321,2.113607529895667,0.0014080147681182463,1.3042735392588893,1.0298244138772654,1.9247863247863248,0.006661449901445248
