r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.76,206.0,293.26491726764726,0.7024365611792385,0.3878717993966396,15197545843.089022,0.76,0.5843027866987328,0.583449691993983,0.060929686358086765,5.603339963666035,0.1185156971954647,0.03704606385571533,1.0
2.28,214.0,305.63274333748996,0.7001867589942548,0.5517372957457062,49519272029.407745,2.28,0.5843027866987328,0.9474755523175268,0.060929686358086765,5.603339963666035,0.38616833992614236,0.11113819156714598,1.0
3.8,222.0,291.5613379719609,0.7614178256424021,0.6173466689532466,75107466196.6886,3.8,0.5276950903026267,1.1127986515212172,0.0561769178659055,4.956877644910804,0.5857138917553062,0.18523031927857664,0.903119242822826
5.33,224.0,265.0912940856414,0.8449919140974645,0.2894925970936302,87087893279.7943,5.33,0.037377445138380934,0.39844034999724953,0.002990974113761522,0.4670964548455028,0.6791413887415629,0.2598098951986351,0.06396930836075712
6.85,225.0,242.5768630764278,0.9275410570756292,0.48497099770105573,93719285296.60002,6.85,0.12692849734585196,0.7907269268955605,0.009108092885380356,1.7688492685813402,0.7308552678351117,0.33390202291006577,0.21723068969598539
8.0,222.0,225.66939890024966,0.9837399358613456,0.6286393657143076,94727260230.9744,8.0,0.2689398364019702,1.1423830534777006,0.012704852722916994,5.6929928415031705,0.7387158035647838,0.3899585669022666,0.460274779659122
10.28,220.0,207.09196266393346,1.0623299773203345,0.2186550418530715,102508351181.49419,10.28,0.009467413914529743,0.2808080773791705,0.0003208465957323649,0.27936068956704185,0.7993954309509075,0.5010967584694126,0.016202924459799217
12.56,218.0,194.36910608427462,1.1215774172747366,0.30321481760616875,110327495451.89275,12.56,0.017929835903912162,0.4227358109068936,0.0005047213168042087,0.6369436059819238,0.8603718112327025,0.6122349500365586,0.030685864096617436
14.91,219.0,181.81832773403235,1.204499033344745,0.33241105278731986,114602108184.7795,14.91,0.019349334761417713,0.47605729320704654,0.0013575160167735912,0.2757954610356913,0.8937067136905924,0.7267852790640994,0.03311525325891395
17.15,217.0,172.28998403853893,1.2595044407889668,0.3686909134020934,118365144118.33774,17.15,0.02241704889428355,0.5454037999149443,0.0007783321116512421,0.6456422311326556,0.9230521640575046,0.835973677796734,0.038365466337989255
19.39,218.0,165.44958416387755,1.317621927559947,0.20377727880267113,123409562955.51408,19.39,0.004218420348074424,0.2577600119657592,5.7537834607082394e-05,0.30927598083188773,0.9623902796721224,0.9451620765293688,0.0072195793758030565
21.64,220.0,162.6175291904289,1.3528676834240598,0.09172927124916574,133055128266.34364,21.64,0.0005928566534643014,0.10266780821423964,4.158296579701155e-06,0.08452475787144327,1.0376097203278776,1.0548379234706313,0.001014639442015838
24.01,222.0,157.69015853882573,1.4078240649706761,0.27020712267686386,138816466343.4017,24.01,0.006930881939584658,0.3651225785657665,0.0001699044030397233,0.2827303095213478,1.082538619113981,1.1703631489154278,0.011861798535556582
26.25,218.0,151.45934437993586,1.4393301442870825,0.2638861639000009,140010658500.17792,26.25,0.0059634349931894344,0.3544128436472165,0.0003986510400342989,0.08920723476586583,1.0918513408854404,1.2795515476480623,0.010206069744904688
28.5,217.0,145.01530712307581,1.4963937552870203,0.24959342618324673,139351676749.80414,28.5,0.004762575055774865,0.33057936809530614,0.00017418249802471228,0.13022043786896956,1.0867123742133873,1.3892273945893248,0.008150868289852013
30.87,207.0,138.6575309891244,1.4928868163405853,0.14214510010190773,137994952110.83234,30.87,0.0011223335187368203,0.1684118984297835,3.483300691556956e-05,0.03616203821660729,1.0761321681623472,1.5047526200341215,0.0019208080883507694
33.12,199.0,133.5503968545208,1.4900741943640556,0.17793690193813597,137347367305.98875,33.12,0.0017776128086484189,0.2190969053308804,2.7318236149796507e-05,0.11567025338473247,1.0710820787971538,1.6144284669753837,0.0030422802168919966
35.36,191.0,128.57699833173893,1.4854912035448575,0.20611614736928022,135918466910.49101,35.36,0.0023789172581245677,0.2613451734375415,4.342304133530179e-05,0.13032821163546854,1.0599390213361821,1.7236168657080184,0.0040713775670406654
37.73,193.0,124.0373290586346,1.5559831984834627,0.14767453010443302,134968139782.04611,37.73,0.0010037030340815992,0.1760246269984677,1.802004708192531e-05,0.05590550213573428,1.0525280430536177,1.839142091152815,0.001717778961405347
39.98,192.0,120.21759147479207,1.5971040314866038,0.1088506952198035,134344063608.39915,39.98,0.00047048582332030725,0.12425371122458848,2.878952323871595e-06,0.07688800822088925,1.047661282091914,1.9488179380940773,0.0008052089328180635
42.22,194.0,116.79097824746567,1.6610872081997459,0.12572497177091088,133898732680.29324,42.22,0.0006181750881322555,0.1462737708557462,5.662171603759647e-06,0.0674900844286639,1.044188438122756,2.058006336826712,0.0010579704601870867
44.59,196.0,113.46365453307064,1.727425410424031,0.12875404725479134,133472148947.78087,44.59,0.0006181750881322555,0.15030493334462705,5.662171603759647e-06,0.0674900844286639,1.0408617912422047,2.1735315622715086,0.0010579704601870867
