r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.37,183.0,124.12410120520511,1.4743309173893615,0.38218155570261764,1325420254.0857632,0.37,1.8644362364235247,0.5720631196776725,0.03079598344639029,112.87583933600816,0.01469575080172359,0.05006765899864682,0.7092914656915794
0.74,196.0,192.62107906457175,1.017541802547454,0.4817647332722763,6383795818.559329,0.74,1.8644362364235247,0.7834911689646562,0.03079598344639029,112.87583933600816,0.0707810765901896,0.10013531799729364,0.7092914656915794
1.11,205.0,220.97691350003058,0.9276987208891015,0.5821879275360148,12602492005.877827,1.11,2.3523823492886846,1.0228135453952987,0.046501579848158406,119.00031644761637,0.13973159186920828,0.15020297699594048,0.8949218491883841
1.48,211.0,243.1157841440987,0.867899222351342,0.4824192666361857,20338909919.06364,1.48,0.9362312503680561,0.7849661201045195,0.03263135995921511,26.86155144196501,0.22551002282323876,0.20027063599458728,0.3561724572966145
1.84,214.0,262.7393320384293,0.8144954862285312,0.5653111056121322,29533005839.229385,1.84,1.2773641566144915,0.9807607455790667,0.04118892593107138,39.61402614222064,0.32745062775468914,0.24898511502029771,0.48595037854712075
2.21,214.0,278.61125497725317,0.7680953162408021,0.6275490062767805,39886803349.5237,2.21,1.5669484267500906,1.1395120881394474,0.04272946247512159,57.46216380615954,0.4422495585796483,0.29905277401894453,0.5961175418928168
2.6,213.0,286.3014568597233,0.7439710657999263,0.5982119791605912,49551876909.77027,2.6,1.109555233907227,1.0634268227751922,0.035606206947483156,34.57579233044207,0.5494121827238546,0.35182679296346414,0.422110471116721
2.96,211.0,282.7116874131666,0.7463433929126384,0.6243888650419132,55007116789.70267,2.96,1.1470776112094285,1.1312087562667401,0.0336837645703646,39.06294509894464,0.6098977876419787,0.40054127198917455,0.43638518937899
3.17,210.0,283.0440794293355,0.7419339080449778,0.5383268329667947,59048253591.21674,3.17,0.6259312719311305,0.9150613457864718,0.04888560745104405,8.014423418460671,0.6547043606573344,0.428958051420839,0.23812437272827955
3.33,209.0,281.8735193309226,0.7414673095085307,0.5495885635883201,61516615645.75868,3.33,0.6396298112050675,0.942250429583515,0.16530716273361407,2.4749459649339034,0.6820726112406181,0.4506089309878214,0.24333573732720126
3.7,207.0,278.62633992499707,0.7429304783450192,0.4359185938825299,66786042491.00774,3.7,0.27399671867545977,0.6829511205228084,0.007601704789694926,9.875969130857545,0.7404979925843695,0.5006765899864682,0.10423715779993734
4.07,206.0,274.32471871852886,0.7509348809771915,0.48485901050011176,71213763782.78084,4.07,0.345935136369254,0.7904737485822035,0.020207155895523358,5.92221484277884,0.789590865975131,0.5507442489851151,0.13160484392871813
4.44,205.0,269.0980980980728,0.7618039720417784,0.324362517819548,74755624185.57936,4.44,0.0985081428115876,0.4611368736756556,0.002768247034817416,3.5054148268339675,0.8288616540090156,0.6008119079837619,0.037475663491403265
4.81,205.0,263.41866505621806,0.7782288318720676,0.4517067018349627,77602874929.02666,4.81,0.23477613004823808,0.7169573296623685,0.019880438190050198,2.7725662137574854,0.8604308768775656,0.6508795669824087,0.08931638537059841
