r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.34,19.6,20.19101285225682,0.9707289150583271,0.4433686974402562,32228105.21494289,0.34,4.654423552142892,0.6989172398710864,1.0107072536124013,21.434157640913014,0.05514606423502217,0.15315315315315317,0.9960568858984911
0.68,32.5,28.671743930218128,1.1335201681174036,0.6621376398201769,129974087.34430625,0.68,4.654423552142892,1.2320917701068013,1.0107072536124013,21.434157640913014,0.2224008926920774,0.30630630630630634,0.9960568858984911
1.02,41.9,32.123955235929465,1.304322574610501,0.7584832905676131,244735990.75544482,1.02,4.675126447981674,1.5063692632589694,1.1139137693802363,19.621633115082613,0.418771956241594,0.45945945945945954,1.0004873511810852
1.37,50.6,33.17132044402212,1.5254141023836976,0.6784131578929016,350498151.55397344,1.37,1.9143385912414903,1.2767308945357863,0.36016075421139426,10.175157062686191,0.5997434056684802,0.6171171171171173,0.40967267254167683
1.71,57.0,34.92588867874374,1.6320271911847097,0.47667376413761875,484987657.7282483,1.71,0.3867535129938479,0.7720570047798827,0.018783441087255773,7.96330550500508,0.8298707090565864,0.7702702702702703,0.0827661031376474
2.05,60.5,34.618772364137925,1.74760674248151,0.7147644711395476,571237661.3321365,2.05,1.487679040983956,1.3789191951039639,0.190365331129276,11.626008348547344,0.9774545712566386,0.9234234234234234,0.3183665895848064
2.39,60.5,32.90446322309483,1.8386563424482958,0.5958246017615673,601654497.0715503,2.39,0.6641441590307018,1.0573336446451966,0.14422689995066046,3.0582884616218795,1.0295013411900475,1.0765765765765767,0.14212831200702125
2.74,60.0,30.627131762540223,1.9590473069824146,0.5381104757860368,597589367.8314592,2.74,0.4661490500786408,0.9145422251819142,0.09437534902293186,2.3024543923691305,1.0225454287433615,1.2342342342342345,0.09975692284646129
3.08,61.5,29.085716425764726,2.1144399230105275,0.5803717751140729,605828769.2604588,3.08,0.5991077740959626,1.018252591667851,0.07287359391683126,4.9253797663918775,1.0366440100105925,1.3873873873873876,0.1282103824669889
3.42,61.5,28.339728297921276,2.1700984340245433,0.4542419203266559,638641469.8284781,3.42,0.25288309735594594,0.7224783591633184,0.02777539367906132,2.302392602145038,1.0927903853925853,1.5405405405405406,0.054117539503417224
3.76,63.0,27.770518540351382,2.2685928571502596,0.22642417672102433,674210432.6758754,3.76,0.035874203482280424,0.293072456865956,0.007332946561150623,0.17550359391765735,1.1536530484897078,1.6936936936936937,0.0076771585147633855
4.11,64.0,27.027572957999762,2.367952168678059,0.22959322079509065,698064518.2066122,4.11,0.035874203482280424,0.29812018194067286,0.007332946561150623,0.17550359391765735,1.1944701838494312,1.8513513513513518,0.0076771585147633855
