r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.82,107.0,33.69309127996421,3.17572522838319,0.09590799179303679,216438848.5227545,0.82,0.3052234377254727,0.10786583754974197,0.023157642300588654,4.022920197475691,0.0013067494060094041,0.032270759543486814,0.9042758877311425
2.46,159.0,82.91915641153135,1.9175303618729085,0.318708662620111,3932642810.474993,2.46,0.3052234377254727,0.45075643773794066,0.023157642300588654,4.022920197475691,0.02374332838910425,0.09681227863046045,0.9042758877311425
4.1,194.0,112.13798330628208,1.7300114936981565,0.4907920502186641,11987510068.799395,4.1,0.3513807206904992,0.8039319377438557,0.026992786524276384,4.574126156331855,0.07237458417862777,0.16135379771743408,1.0410246195437962
5.74,198.0,128.90390994845734,1.536027883709431,0.452002930656456,22176025845.693123,5.74,0.1468516008410413,0.7176015747750887,0.01344852615687135,1.603550635811342,0.13388774149970648,0.22589531680440772,0.4350726232063192
7.38,211.0,141.22226594981402,1.4940986719118556,0.395885213248296,34221761346.319733,7.38,0.06419009149540061,0.5996278459375394,0.006583023115877164,0.6259081539984656,0.20661386168480517,0.29043683589138136,0.19017396698989608
9.02,222.0,157.50236347433014,1.4095026582644377,0.4381132423299096,52025987614.24909,9.02,0.05693584104816866,0.6876394193661838,0.004833983170743224,0.6706043197423706,0.31410686610091293,0.35497835497835495,0.16868202714452013
10.65,230.0,169.21796240352265,1.3591937683987385,0.5513457677112452,70905867646.61433,10.65,0.08741259311990045,0.9465225699562781,0.004240695502939015,1.8018179873206401,0.4280941294143581,0.41912632821723733,0.2589745428182836
12.29,239.0,175.92891888487236,1.358503204105979,0.4686848786246697,88443515326.98894,12.29,0.041179671143031255,0.7542500487115172,0.001517631632330271,1.1173761005787761,0.5339776657829337,0.4836678473042109,0.12200171768209328
13.93,237.0,177.92775640691926,1.3320012840379047,0.31103379477122417,102536423906.80112,13.93,0.010963951590694165,0.4367984227079485,0.00019884576671393676,0.6045300157484313,0.6190635920910212,0.5482093663911846,0.032482554850959994
15.57,240.0,180.6274710557616,1.3287015457682485,0.3493306297936906,118112499675.88252,15.57,0.013057650491550428,0.5079720853793641,0.00046674056690557147,0.3653040863576409,0.7131041393316186,0.6127508854781583,0.03868549079297762
17.21,245.0,182.46059574604047,1.3427556727974603,0.4195848561696135,133216706578.37527,17.21,0.019544341116254884,0.6484517431545513,0.0005408175995534181,0.706303326637213,0.804295778599652,0.6772924045651318,0.05790340527164142
18.85,249.0,181.5118676560847,1.3718111284700505,0.5262084545667094,144397957684.53656,18.85,0.03662688532057325,0.8861723935214394,0.002196437039897338,0.6107749523059983,0.8718025748201197,0.7418339236521055,0.10851332219080109
20.49,248.0,178.51256202295679,1.3892579726019902,0.47173980875754495,151816568133.72052,20.49,0.024481392454324926,0.7610397900741317,0.001696151248378458,0.3533520828850921,0.916592430541733,0.806375442739079,0.07253025213103294
22.13,250.0,175.417465778069,1.4251716548926194,0.3911307183605118,158331280577.59872,22.13,0.01339902460570228,0.5900089288592848,0.0012254356111983796,0.14650615564260056,0.9559250026491147,0.8709169618260527,0.039696869153772935
23.77,255.0,171.61761040173005,1.4858614998955224,0.22277742839403594,162776808125.25723,23.77,0.0029211407037996275,0.2872961457764537,0.0005839355672983059,0.014613021520293578,0.9827648723026001,0.9354584809130263,0.008654371770400685
25.41,244.0,167.436175899953,1.4572716958478293,0.41152175913226696,165631487971.15036,25.41,0.014846112472896125,0.6316769648433773,0.0010781185244222924,0.20443675770805123,1.0,1.0,0.04398411090520306
27.05,244.0,164.22317010702233,1.4857830343975704,0.437902214808627,169619499519.86902,27.05,0.01743812074445019,0.6871880694632181,0.0010412682316392793,0.2920362360611877,1.024077617109938,1.0645415190869736,0.051663372361114526
28.68,249.0,162.0728740412781,1.5363459275522104,0.3939967348303592,175161824176.744,28.68,0.012369005942532282,0.5958001900044386,0.0009698605756231961,0.15774670282694167,1.057539398591007,1.128689492325856,0.036645265227289926
30.32,251.0,160.28451266419972,1.5659653938359697,0.35412689688291665,181113975879.5232,30.32,0.008843914560226804,0.5171545137076177,0.0005289019351982933,0.14788152499246907,1.093475510592947,1.1932310114128295,0.026201587759982315
31.96,249.0,158.29657766357425,1.572996736096194,0.32611950556752084,186204197655.8449,31.96,0.006859948575674318,0.46437961705260644,0.00021400930240729116,0.21989181746565442,1.1242077212291777,1.2577725304998033,0.020323754080895012
33.6,244.0,154.95305514897083,1.5746704688424507,0.25079503235413847,187576837571.58368,33.6,0.0034164227069017777,0.3325626250837058,0.00020115259332435323,0.0580253225640167,1.1324950338202344,1.322314049586777,0.010121728197449662
35.24,239.0,151.39043067512557,1.5786995184185657,0.3715315377380743,187789970610.87076,35.24,0.009757195753973028,0.5509779263322978,0.0003380799433305628,0.28159868947997085,1.1337818244051514,1.3868555686737505,0.02890733725411463
36.88,238.0,148.93430095179554,1.5980200563537859,0.3412586406944291,190204163974.60077,36.88,0.007601922970863509,0.49265333849762155,0.00018166808984793374,0.31810337689637774,1.148357515255375,1.4513970877607243,0.022521978306018105
38.52,241.0,147.86294194286816,1.6298877652056896,0.24800815912623703,195814392440.66956,38.52,0.0031809059826819752,0.3279686202173775,9.003885064363566e-05,0.11237552232545274,1.1822292659399187,1.5159386068476979,0.009423970199386138
40.16,237.0,146.86702999652442,1.6137045871058233,0.2315788303257583,201410438237.48932,40.16,0.002600931460300353,0.30129621137731855,0.00017156839491367127,0.039429432586252366,1.2160153887681726,1.5804801259346712,0.0077056979068114125
41.8,228.0,145.3176358877339,1.5689768045507078,0.5324803281910493,205235543068.79248,41.8,0.026815050477123344,0.9010762180746311,0.0030280286686504357,0.23746371344996065,1.2391094566785534,1.6450216450216448,0.07944410742324999
43.44,233.0,144.56442508445846,1.611738156630686,0.4001764482224181,211082548372.32123,43.44,0.010736861649616932,0.6083599948479009,0.0004229738125773311,0.27254689215999267,1.2744107473639765,1.7095631641086186,0.03180976261851313
45.08,233.0,145.48456034919994,1.6015445174439182,0.32093324959890007,221848943382.67947,45.08,0.0055131483279233584,0.4548308455064429,0.00031543967108555636,0.09635694959065619,1.3394128501781077,1.7741046831955922,0.016333631308190648
46.71,230.0,141.73603987694875,1.6227347695030816,0.3129757831382769,218177570456.01987,46.71,0.0052394295822229394,0.4403157762185999,0.0035628480272831267,0.007704965841051117,1.3172469385411907,1.8382526564344746,0.015522693381531404
48.35,226.0,141.77505633925875,1.594074485565333,0.005482596467960736,225962192910.33752,48.35,7.643079116557162e-07,0.0055216729912004265,0.0,0.5841665838195221,1.3642465915037578,1.9027941755214484,2.2643910325590578e-06
49.99,225.0,142.74005919853053,1.5762919061639027,0.005611812599360004,236817900805.87598,49.99,7.643079116557162e-07,0.005652752772205474,0.0,0.5841665838195221,1.4297879208035904,1.967335694608422,2.2643910325590578e-06
