variant,rmse_DeltaX_absolute_median,rmse_DeltaX_absolute_mean,rmse_DeltaX_absolute_std,rmse_DeltaX_absolute_count,rmse_DeltaX_shape_median,rmse_DeltaX_shape_mean,rmse_DeltaX_shape_std,rmse_DeltaX_shape_count,rmse_V_absolute_median,rmse_V_absolute_mean,rmse_V_absolute_std,rmse_V_absolute_count,rmse_V_scaled_median,rmse_V_scaled_mean,rmse_V_scaled_std,rmse_V_scaled_count
only_D,0.5740565394704659,0.6505022211239003,0.46011480025630397,175,0.1487038107002549,0.19429707735093987,0.14062946622650316,175,32.57748036208477,35.677063192149085,22.40452201538342,175,8.713531145894805,12.680109135051415,10.741434490935237,175
only_M,0.6067256090230893,0.6890745014321621,0.46343728161578185,175,0.2235066988339498,0.28007332224778564,0.21019399378190154,175,34.47058472661807,37.49729041988412,22.894453223596578,175,10.89447821320262,16.980618242349706,14.598933328676797,175
MD_only,0.6112079698406413,0.7104038569613843,0.46315893363100036,175,0.2736426300326834,0.34166580125304635,0.250286990982936,175,36.32822426671586,39.91871301538084,25.458648359599074,175,13.988441816846011,19.643830234743515,17.089772331541223,175
drop_I,0.6112079698406413,0.7104038569613843,0.46315893363100036,175,0.2736426300326834,0.34166580125304635,0.250286990982936,175,36.32822426671586,39.91871301538084,25.458648359599074,175,13.988441816846011,19.643830234743515,17.089772331541223,175
only_I,0.9158229053039416,0.9722653241760351,0.48996144793449026,175,0.6133025468169783,0.6610418127229976,0.4004806070287091,175,55.14628671160405,69.88055821463861,51.660833090396295,175,32.2854828959317,52.25383478585298,48.89603271702947,175
DI_only,0.9286629756907628,0.9713009596719561,0.502123560657577,175,0.4721730743123749,0.5547602066836969,0.38290403214774305,175,53.43185253418662,69.51554984299815,53.31702661961815,175,25.226878897912595,44.08900608042536,44.72710602101715,175
drop_M,0.9286629756907628,0.9713009596719561,0.502123560657577,175,0.4721730743123749,0.5547602066836969,0.38290403214774305,175,53.43185253418662,69.51554984299815,53.31702661961815,175,25.226878897912595,44.08900608042536,44.72710602101715,175
full,0.9364673097560244,1.0046730999948705,0.5054558787354204,175,0.4588146704646252,0.5818784673077957,0.382630655755825,175,54.46703956148138,70.94256534145819,55.71003941044795,175,24.437241479258592,42.77035078516639,44.14822449073196,175
MI_only,0.9387732530044872,0.9966470563556119,0.5031190615944974,175,0.4981028417010151,0.5958602226807826,0.39685515984817676,175,54.41146372768505,70.27374528583921,53.71517245999941,175,25.33531754485804,46.441136819443805,47.110503730336625,175
drop_D,0.9387732530044872,0.9966470563556119,0.5031190615944974,175,0.4981028417010151,0.5958602226807826,0.39685515984817676,175,54.41146372768505,70.27374528583921,53.71517245999941,175,25.33531754485804,46.441136819443805,47.110503730336625,175
