galaxy,variant,n_points,r_max_kpc,distance_mpc,rmse_DeltaX_absolute,rmse_DeltaX_shape,rmse_DeltaX_shape_inner,rmse_DeltaX_shape_outer,rmse_V_absolute,rmse_V_scaled,V_scale_alpha,median_DeltaX_obs,median_DeltaX_pred
CamB,full,9,1.79,3.36,0.2808367297077699,0.2661857968007544,0.22339159417105364,0.20645619887234817,3.987744697750357,3.6318019495565137,1.1646715339295635,0.6520835906036206,0.6814335721938094
CamB,drop_M,9,1.79,3.36,0.30044888134853975,0.29453385867150184,0.11694197913930916,0.24980625595561434,4.900636520087278,4.6754723028784,1.1498219936319527,0.6520835906036206,0.5920761928159751
CamB,drop_D,9,1.79,3.36,0.3118982276598441,0.29972074249922376,0.19444127480904502,0.2556790174326318,4.776593431632621,4.462273392458239,1.1765658047343635,0.6520835906036206,0.5866008199416107
CamB,drop_I,9,1.79,3.36,0.1915554266006425,0.17595234563014575,0.1751938042141308,0.1424516294156268,2.4736268740827025,2.1164563198636683,0.9037012263618142,0.6520835906036206,0.870461358948068
CamB,only_M,9,1.79,3.36,0.19507852114600943,0.18025043446411682,0.13161772204860583,0.16340078818383202,2.7804479310442067,2.553788398318388,0.915612804858539,0.6520835906036206,0.870461358948068
CamB,only_D,9,1.79,3.36,0.2164811961490904,0.18213677177029927,0.04543350533911163,0.1578072889232896,3.0411692003319346,2.748053098082219,0.9012383785575766,0.6520835906036206,0.870461358948068
CamB,only_I,9,1.79,3.36,0.35556063983603353,0.3554578518677773,0.0801145907506101,0.3089307974854994,5.763693959573526,5.631617937741856,1.1278389753916496,0.6520835906036206,0.617189179967106
CamB,MD_only,9,1.79,3.36,0.1915554266006425,0.17595234563014575,0.1751938042141308,0.1424516294156268,2.4736268740827025,2.1164563198636683,0.9037012263618142,0.6520835906036206,0.870461358948068
CamB,MI_only,9,1.79,3.36,0.3118982276598441,0.29972074249922376,0.19444127480904502,0.2556790174326318,4.776593431632621,4.462273392458239,1.1765658047343635,0.6520835906036206,0.5866008199416107
CamB,DI_only,9,1.79,3.36,0.30044888134853975,0.29453385867150184,0.11694197913930916,0.24980625595561434,4.900636520087278,4.6754723028784,1.1498219936319527,0.6520835906036206,0.5920761928159751
D512-2,full,4,3.83,15.2,0.8009252788330731,0.28875500884765887,,,15.739525910916184,4.636812716993096,1.8599340532447148,1.5871031471453856,0.8636973058908961
D512-2,drop_M,4,3.83,15.2,0.7401164243729856,0.06368107672798505,,,15.13747625232083,1.189656155132594,1.8502481828125057,1.5871031471453856,0.8671469717843121
D512-2,drop_D,4,3.83,15.2,0.7692719224269554,0.14762523856338614,,,15.48596510302695,2.4397217052383793,1.874988445508497,1.5871031471453856,0.8674342647505269
D512-2,drop_I,4,3.83,15.2,0.8003244996513791,0.2877412741610384,,,15.729433964847598,4.620569680010854,1.8592295527073899,1.5871031471453856,0.8642067101006996
D512-2,only_M,4,3.83,15.2,0.7687141184792696,0.14685569885031044,,,15.476766001930073,2.42959230983554,1.8741249189357256,1.5871031471453856,0.8679170002068664
D512-2,only_D,4,3.83,15.2,0.7396121530696047,0.06333418159238904,,,15.128926965512214,1.1875364942975584,1.8493683299672965,1.5871031471453856,0.8676311003871324
D512-2,only_I,4,3.83,15.2,0.7262397468816436,0.09016026989709747,,,15.126993670324833,1.7810555733416775,1.8443635823852738,1.5871031471453856,0.869999347436426
D512-2,MD_only,4,3.83,15.2,0.8003244996513791,0.2877412741610384,,,15.729433964847598,4.620569680010854,1.8592295527073899,1.5871031471453856,0.8642067101006996
D512-2,MI_only,4,3.83,15.2,0.7692719224269554,0.14762523856338614,,,15.48596510302695,2.4397217052383793,1.874988445508497,1.5871031471453856,0.8674342647505269
D512-2,DI_only,4,3.83,15.2,0.7401164243729856,0.06368107672798505,,,15.13747625232083,1.189656155132594,1.8502481828125057,1.5871031471453856,0.8671469717843121
D564-8,full,6,3.07,8.79,1.272483123144042,0.48035337569347536,0.20410665833500488,0.3605235846077816,13.367004398385808,5.092987963289579,2.7995150347590534,1.87813422615399,0.6521272055307797
D564-8,drop_M,6,3.07,8.79,1.2623930319108307,0.6665909322924631,0.1282184626824888,0.43868918185590017,13.421770827613065,6.765621444082212,2.6299445728118918,1.87813422615399,0.6941071839806687
D564-8,drop_D,6,3.07,8.79,1.2814626249020107,0.634957145992389,0.06274660203584306,0.4711552490544462,13.565312697469787,6.629834769878808,2.7108897923577953,1.87813422615399,0.6264144809657066
D564-8,drop_I,6,3.07,8.79,1.0790693381493701,0.16373075334258624,0.1998079444235511,0.1053030731305293,11.265707299377029,1.444930156075321,2.289483548086063,1.87813422615399,0.8670804547517348
D564-8,only_M,6,3.07,8.79,1.0706003790022822,0.20258232346832059,0.06533679917170852,0.14758507228610948,11.297369483509451,2.0883018536695412,2.2795465128550982,1.87813422615399,0.8689716343457654
D564-8,only_D,6,3.07,8.79,1.0516884552565335,0.2559237174988917,0.13326972444389606,0.1332704224223505,11.165279218312467,2.4050405112758,2.23331532682618,1.87813422615399,0.8690365370114972
D564-8,only_I,6,3.07,8.79,1.282338882984713,0.843294144429357,0.2451676518380945,0.5598045148743506,13.684897131169151,8.436399184279596,2.4889601489844164,1.87813422615399,0.7686904174984274
D564-8,MD_only,6,3.07,8.79,1.0790693381493701,0.16373075334258624,0.1998079444235511,0.1053030731305293,11.265707299377029,1.444930156075321,2.289483548086063,1.87813422615399,0.8670804547517348
D564-8,MI_only,6,3.07,8.79,1.2814626249020107,0.634957145992389,0.06274660203584306,0.4711552490544462,13.565312697469787,6.629834769878808,2.7108897923577953,1.87813422615399,0.6264144809657066
D564-8,DI_only,6,3.07,8.79,1.2623930319108307,0.6665909322924631,0.1282184626824888,0.43868918185590017,13.421770827613065,6.765621444082212,2.6299445728118918,1.87813422615399,0.6941071839806687
D631-7,full,16,7.19,7.72,1.7121519651168453,1.3324748728608087,0.42477936796357824,1.4733674868153508,38.51580279647047,29.254128024115253,3.510314830156735,1.8231657471080283,0.351895413240094
D631-7,drop_M,16,7.19,7.72,1.7021652252986426,1.4539458405784986,0.5285774215498654,1.4785935774779015,38.300833185071106,31.67241925952688,2.901325859261644,1.8231657471080283,0.38823915461652436
D631-7,drop_D,16,7.19,7.72,1.7132509401795792,1.464255117567321,0.49054834095554145,1.5049892680459165,38.49410374752755,32.246289927592116,2.864214635337442,1.8231657471080283,0.35648371005639146
D631-7,drop_I,16,7.19,7.72,1.1972410876174056,0.4088081940399862,0.17800411573602903,0.2650985338286921,26.857066317943804,9.79542805184379,2.2777701135862105,1.8231657471080283,0.8701235374596792
D631-7,only_M,16,7.19,7.72,1.210053713960459,0.5529854479507305,0.18166118990654015,0.3207012701780196,27.06641353277007,13.087345825927063,2.1826633263682638,1.8231657471080283,0.8704010446397215
D631-7,only_D,16,7.19,7.72,1.186086181289563,0.5319166022892855,0.20909897354632626,0.2717751725851835,26.63298544501384,12.16825222843835,2.167102925426021,1.8231657471080283,0.8702212649559369
D631-7,only_I,16,7.19,7.72,1.7100263755129217,1.5762286096044122,0.6209120342789464,1.5119717544170106,38.38916045585636,34.21149058521889,2.361063745000078,1.8231657471080283,0.38146682205330007
D631-7,MD_only,16,7.19,7.72,1.1972410876174056,0.4088081940399862,0.17800411573602903,0.2650985338286921,26.857066317943804,9.79542805184379,2.2777701135862105,1.8231657471080283,0.8701235374596792
D631-7,MI_only,16,7.19,7.72,1.7132509401795792,1.464255117567321,0.49054834095554145,1.5049892680459165,38.49410374752755,32.246289927592116,2.864214635337442,1.8231657471080283,0.35648371005639146
D631-7,DI_only,16,7.19,7.72,1.7021652252986426,1.4539458405784986,0.5285774215498654,1.4785935774779015,38.300833185071106,31.67241925952688,2.901325859261644,1.8231657471080283,0.38823915461652436
DDO064,full,14,2.98,6.8,1.2137551881948399,0.9492934306020543,1.2687160622543314,0.17432831318345834,17.436391445053548,6.784129054767848,1.854562227973032,1.6870529229427915,0.7930714664894698
DDO064,drop_M,14,2.98,6.8,1.0959686264664532,0.6149617405259772,0.8323116047416195,0.12003095823196533,18.263664237813504,3.8311428024865535,2.023454450429888,1.6870529229427915,0.8058700147845037
