r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.25,4.25,3.433846240005513,1.2376791804146643,0.6960010400385024,685395.6488278062,0.25,4.2521597377279114,1.3257437220935822,2.515020847478376,7.1891501230626496,0.007699286363331253,0.17857142857142858,1.0
0.41,6.84,5.14463798532025,1.3295396137721078,0.8174605579138692,2523092.3223224855,0.41,4.2521597377279114,1.6861748507821797,2.515020847478376,7.1891501230626496,0.028342768653268388,0.29285714285714287,1.0
0.57,9.56,6.788225099390856,1.4083210058632072,0.9083099639151965,6106986.660962447,0.57,1.8350992982655372,1.9808450516271097,1.6388471208872946,2.0548527019844336,0.06860189322796072,0.40714285714285714,0.43156875833787456
0.74,12.3,9.051143574156804,1.358944303471162,0.9697948293267217,14095428.176827693,0.74,2.1672149926066413,2.1924474436122203,0.4883349767692669,9.618030752685982,0.15833881953112533,0.5285714285714286,0.5096739366063104
0.9,15.1,10.940100547984008,1.3802432558796327,1.0092791985236207,25045216.012425277,0.9,1.9437088011357608,2.333517049267847,0.4725339221511764,7.995201458582121,0.2813415732080271,0.6428571428571429,0.45711095561390114
1.07,17.5,13.004526135157713,1.3456853266409132,1.0332141137172899,42073872.506051056,1.07,1.6938925035504822,2.4210049399372764,0.7427203058420617,3.863192901844085,0.4726303608614834,0.7642857142857143,0.39836050572634235
1.24,19.7,14.983167221919402,1.3148087923079559,1.1092869371607221,64724482.02822193,1.24,0.6321356777256018,2.708959698802763,0.08136398048149178,4.91120902257853,0.7270724912039311,0.8857142857142858,0.1486622602901968
1.4,21.8,16.537185371156724,1.3182412551305374,0.9132440762572676,89020672.36933579,1.4,3.2878106123129296,1.9974632419219545,0.7864704728293642,13.744570197974662,1.0,1.0,0.7732095723359937
1.57,24.4,17.883402920026153,1.3643935725832383,1.1756793773646774,116745357.84287511,1.57,0.3659893892132057,2.9725679752334524,0.2886015358638204,0.4641286215464223,1.3114409803434535,1.1214285714285714,0.08607141118568785
1.72,27.3,19.01036822368257,1.4360584539330725,0.9743539395057075,144527054.04205158,1.72,1.6631202301330357,2.208529218765087,0.21285566818491783,12.994574790814745,1.6235223818848128,1.2285714285714286,0.3911236483843157
1.89,30.3,20.057180759019946,1.510680905958019,1.0947761904654616,176783295.86064342,1.89,0.7238312430237518,2.652871569838551,0.3795731166772159,1.3803181662700692,1.9858679018643146,1.35,0.17022672892588037
2.06,32.6,20.81237372334064,1.566375870112297,0.9833746852024771,207467511.29412147,2.06,1.2592139205551875,2.240508188148669,0.12208361078546189,12.98798165878615,2.3305543057837665,1.4714285714285715,0.2961351403106114
2.46,33.3,21.81966544198146,1.5261462229356713,0.9034748370957046,272314600.3985203,2.46,1.6327462441579506,1.9646216527403477,0.804340422400298,3.3143433098345128,3.0590040846773277,1.7571428571428573,0.383980458135467
2.79,34.6,22.22540213359479,1.556777231386981,0.8534037276862775,320437329.5418876,2.79,1.968844026611194,1.8001910268437618,0.7171001265912482,5.405586552534697,3.5995833441072276,1.992857142857143,0.4630221224151897
3.13,34.2,21.403518402356188,1.597868133504402,0.8587777369906725,333391346.9475065,3.13,1.968844026611194,1.8175266990067394,0.7171001265912482,5.405586552534697,3.745100301695172,2.2357142857142858,0.4630221224151897
