r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.34,19.6,20.19101285225682,0.9707289150583271,0.6574053298538763,32228105.21494289,0.34,4.654423552142892,1.2192416278902456,1.0107072536124013,21.434157640913014,0.05514606423502217,0.15315315315315317,0.9960568858984911
0.68,32.5,28.671743930218128,1.1335201681174036,0.7998689865645305,129974087.34430625,0.68,4.654423552142892,1.6315965009326305,1.0107072536124013,21.434157640913014,0.2224008926920774,0.30630630630630634,0.9960568858984911
1.02,41.9,32.123955235929465,1.304322574610501,0.8566638552826301,244735990.75544482,1.02,4.675126447981674,1.8106987045146385,1.1139137693802363,19.621633115082613,0.418771956241594,0.45945945945945954,1.0004873511810852
1.37,50.6,33.17132044402212,1.5254141023836976,0.9613003854303628,350498151.55397344,1.37,1.9143385912414903,2.162628345767496,0.36016075421139426,10.175157062686191,0.5997434056684802,0.6171171171171173,0.40967267254167683
1.71,57.0,34.92588867874374,1.6320271911847097,1.0867395034303349,484987657.7282483,1.71,0.3867535129938479,2.6220430762411486,0.018783441087255773,7.96330550500508,0.8298707090565864,0.7702702702702703,0.0827661031376474
2.05,60.5,34.618772364137925,1.74760674248151,1.030260833723006,571237661.3321365,2.05,1.487679040983956,2.4101294348777165,0.190365331129276,11.626008348547344,0.9774545712566386,0.9234234234234234,0.3183665895848064
2.39,60.5,32.90446322309483,1.8386563424482958,1.1435763796606098,601654497.0715503,2.39,0.6641441590307018,2.8436733966135765,0.14422689995066046,3.0582884616218795,1.0295013411900475,1.0765765765765767,0.14212831200702125
2.74,60.0,30.627131762540223,1.9590473069824146,1.2116533518044568,597589367.8314592,2.74,0.4661490500786408,3.1201883502251246,0.09437534902293186,2.3024543923691305,1.0225454287433615,1.2342342342342345,0.09975692284646129
3.08,61.5,29.085716425764726,2.1144399230105275,1.2223691337631024,605828769.2604588,3.08,0.5991077740959626,3.164811322692887,0.07287359391683126,4.9253797663918775,1.0366440100105925,1.3873873873873876,0.1282103824669889
3.42,61.5,28.339728297921276,2.1700984340245433,1.3203287241668757,638641469.8284781,3.42,0.25288309735594594,3.5865770459850452,0.02777539367906132,2.302392602145038,1.0927903853925853,1.5405405405405406,0.054117539503417224
3.76,63.0,27.770518540351382,2.2685928571502596,1.4172760700387712,674210432.6758754,3.76,0.035874203482280424,4.028548966354678,0.007332946561150623,0.17550359391765735,1.1536530484897078,1.6936936936936937,0.0076771585147633855
4.11,64.0,27.027572957999762,2.367952168678059,1.4543070086230196,698064518.2066122,4.11,0.035874203482280424,4.203818546552067,0.007332946561150623,0.17550359391765735,1.1944701838494312,1.8513513513513518,0.0076771585147633855
