galaxy,variant,n_points,r_max_kpc,distance_mpc,rmse_DeltaX_absolute,rmse_DeltaX_shape,rmse_DeltaX_shape_inner,rmse_DeltaX_shape_outer,rmse_V_absolute,rmse_V_scaled,V_scale_alpha,median_DeltaX_obs,median_DeltaX_pred
CamB,full,9,1.79,3.36,0.352176605627964,0.13467177146802095,0.05317407686162047,0.12722659026202465,5.231712568940331,1.9988152894766291,0.7134194209870434,0.6520835906036206,1.047692947293217
D512-2,full,4,3.83,15.2,0.7351104738153779,0.10843728954199656,,,15.322981560526184,2.180641191507932,1.8607222935458554,1.5871031471453856,0.8644374036529068
D564-8,full,6,3.07,8.79,0.8348108617775284,0.14424982728130847,0.19687820430969055,0.040006374027997615,8.88775394782919,1.343914592091136,1.7944517160697295,1.87813422615399,0.9924894972183558
D631-7,full,16,7.19,7.72,0.8506116163698761,0.32534732566473434,0.11689074953619781,0.17735012732742797,18.976930693434745,7.59088994863028,1.629866753957526,1.8231657471080283,1.195983530586788
DDO064,full,14,2.98,6.8,0.9874915829265658,0.549615949786769,0.7729631573036692,0.07941701168959078,16.96203324058005,3.715068656576701,1.8818486236800698,1.6870529229427915,0.9021604964221577
DDO154,full,12,5.92,4.04,1.0489422586941226,0.10029238609730252,0.12425522485475052,0.06735804729787391,19.042987334015677,1.625286468508407,1.9169544925969706,2.2726451529894875,1.1391199695349203
DDO161,full,31,13.37,7.5,0.3742978804809359,0.1261233407757317,0.1617022248968756,0.06297601453505007,11.89774530319591,3.141845552206347,1.2821172229779225,1.5403201734207241,1.2144675738645119
DDO168,full,10,4.12,4.25,0.5521075284719836,0.12717329969729332,0.09495773696278671,0.06834582290914817,15.099683254047232,3.250855115470384,1.5110093361586572,1.7129784349800468,1.1455014537651778
DDO170,full,8,12.33,15.4,0.8064026579444832,0.10240817526177384,0.11185716502454598,0.07075908128872492,23.702095669029994,2.9909422444847515,1.7894179374664567,1.7973096062325626,1.0118356624250597
ESO079-G014,full,15,16.67,28.7,0.21654718265686887,0.21259526683219726,0.24812642236328342,0.08221130575466831,11.964795130603385,11.871024379867773,0.9885192898020392,1.2444586053601563,1.162020448734737
ESO116-G012,full,15,9.86,13.0,0.3746281952996213,0.1732816791763841,0.22726524125913836,0.05084097200345026,19.97894598773476,4.915002959796891,1.2699593692809186,1.4577262875333339,1.075595082326763
ESO444-G084,full,7,4.44,4.83,1.5024042034335514,0.23044975534114281,0.23577699753633222,0.22309217512568558,28.737732153473228,3.6006728178129936,2.2976279666415493,2.253990068299717,1.0259953277460014
ESO563-G021,full,30,42.41,60.8,0.1362763683759799,0.13576470237655097,0.13304630026715533,0.06365524688287091,30.292692504006098,29.571800985522117,0.9767494006875544,1.1560441979659863,1.205132625328523
F561-1,full,6,9.66,66.4,0.09401264482585947,0.08389038912729356,0.06652543024049244,0.037681801996786175,3.94434720140614,3.6719676688015546,1.0337371358742087,0.9626497613401533,0.9000832199682145
